regime,sigma.sq
soft,0.000159887
soft,0.000160019
soft,0.000158751
soft,0.000160113
soft,0.000159882
soft,0.000155857
soft,0.000159711
soft,0.000158059
soft,0.000154781
soft,0.000155109
soft,0.00016138
soft,0.000159882
soft,0.000158496
soft,0.000160437
soft,0.000158175
soft,0.000159882
soft,0.000157795
soft,0.000161379
soft,0.000158513
soft,0.000161429
soft,0.000158461
soft,0.000154874
soft,0.000157918
soft,0.000160605
soft,0.000157876
soft,0.000158116
soft,0.000158423
soft,0.000161068
soft,0.000158059
soft,0.000159842
soft,0.000158405
soft,0.000158513
soft,0.000161723
soft,0.000159932
soft,0.000158576
soft,0.000159971
soft,0.000160607
soft,0.000161352
soft,0.000155593
soft,0.000160496
soft,0.000157934
